@relation InstanceResultListener

@attribute Key_Dataset {iris,car,balance-scale}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest,weka.classifiers.meta.AdaBoostM1,weka.classifiers.meta.Bagging}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0'}
@attribute Key_Scheme_version_ID {1116839470751428698,-1178107808933117974,-115879962237199703}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

iris,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.042667,0.190041,9.6,40.313769,23.774438,3.410428,20.364009,1.584963,0.227362,1.357601,21.668015,1.444534,1367.099565,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.111,0.291,0.09375,0,93.75,0,92105,10633,2353,100,35.555556,?,-1
iris,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.012,0.052789,2.7,11.198214,23.774438,0.444037,23.330401,1.584963,0.029602,1.55536,23.330401,1.55536,1471.984407,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.076,0.003,0.046875,0.015625,46.875,15.625,102258,10633,2353,100,35.555556,?,-1
iris,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.000444,0.002108,0.1,0.447214,23.774438,0.0145,23.759938,1.584963,0.000967,1.583996,23.759938,1.583996,1499.085179,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.049,0.002,0.046875,0,46.875,0,103182,10633,2353,100,33.333333,?,-1
iris,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.006222,0.022111,1.4,4.690416,23.774438,0.210446,23.563992,1.584963,0.01403,1.570933,23.563992,1.570933,1486.722335,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.058,0.001,0.03125,0.015625,31.25,15.625,102995,10633,2353,100,35.555556,?,-1
iris,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.055556,0.197056,12.5,41.801914,23.774438,3.405069,20.369368,1.584963,0.227005,1.357958,21.094838,1.406323,1330.936103,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.986667,0.977778,0.93266,0.933333,0.022,0.001,0.03125,0,31.25,0,92622,10633,2353,100,37.777778,?,-1
iris,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.042667,0.158689,9.6,33.663036,23.774438,2.200913,21.573525,1.584963,0.146728,1.438235,21.683584,1.445572,1368.081836,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.015,0.001,0.015625,0,15.625,0,94723,10633,2353,100,37.777778,?,-1
iris,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.055111,0.209189,12.4,44.375669,23.774438,5.10254,18.671898,1.584963,0.340169,1.244793,21.204723,1.413648,1337.869052,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.986667,0.977778,0.93266,0.933333,0.016,0.001,0.015625,0,15.625,0,98056,10633,2353,93.333333,35.555556,?,-1
iris,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,13,2,0,86.666667,13.333333,0,0.8,0.093778,0.276349,21.1,58.622521,23.774438,7.914126,15.860312,1.584963,0.527608,1.057354,19.268938,1.284596,1215.734615,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.946667,0.91037,0.866667,0.866667,0.016,0.001,0,0,0,0,79455,10633,2353,93.333333,42.222222,?,-1
iris,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.076444,0.187023,17.2,39.673669,23.774438,3.375169,20.399269,1.584963,0.225011,1.359951,20.399269,1.359951,1287.050555,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.986667,0.977778,0.93266,0.933333,0.016,0.004,0.015625,0,15.625,0,100355,10633,2353,100,44.444444,?,-1
iris,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.023556,0.064944,5.3,13.776792,23.774438,0.84361,22.930828,1.584963,0.056241,1.528722,22.930828,1.528722,1446.77416,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.025,0.001,0.03125,0,31.25,0,99420,10633,2353,100,40,?,-1
iris,2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.038222,0.168892,8.6,35.827364,23.774438,2.409821,21.364617,1.584963,0.160655,1.424308,21.838548,1.455903,1377.858957,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.025,0.001,0.03125,0,31.25,0,97044,10633,2353,100,35.555556,?,-1
