@relation 'emotion-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 'CO2 0' numeric
@attribute 'm33.0335 0' numeric
@attribute 'm33.0335 4' numeric
@attribute 'm33.0335 5' numeric
@attribute 'm34.0372 4' numeric
@attribute 'm35.0385 4' numeric
@attribute 'm43.0178 0' numeric
@attribute 'm45.0335 0' numeric
@attribute 'm45.0335 2' numeric
@attribute 'm47.0491 0' numeric
@attribute 'm47.0491 2' numeric
@attribute 'm47.0491 3' numeric
@attribute 'm48.0071 5' numeric
@attribute 'm59.9293 0' numeric
@attribute 'm63.0263 2' numeric
@attribute 'm63.0457 1' numeric
@attribute 'm64.9278 6' numeric
@attribute 'm65.0603 3' numeric
@attribute 'm71.0157 8' numeric
@attribute 'm71.0855 1' numeric
@attribute 'm72.9853 3' numeric
@attribute 'm84.0920 6' numeric
@attribute 'm84.0920 7' numeric
@attribute 'm89.0271 0' numeric
@attribute 'm89.0271 2' numeric
@attribute 'm89.0271 3' numeric
@attribute 'm89.0597 2' numeric
@attribute 'm89.0597 3' numeric
@attribute 'm95.0158 0' numeric
@attribute 'm97.0296 3' numeric
@attribute 'm97.1012 1' numeric
@attribute 'm99.0440 4' numeric
@attribute 'm100.9380 9' numeric
@attribute 'm105.0342 0' numeric
@attribute 'm111.0800 0' numeric
@attribute 'm111.0800 1' numeric
@attribute 'm113.1425 2' numeric
@attribute 'm120.9533 0' numeric
@attribute 'm120.9533 1' numeric
@attribute 'm120.9533 2' numeric
@attribute 'm120.9533 3' numeric
@attribute 'm120.9533 6' numeric
@attribute 'm136.1310 1' numeric
@attribute 'm148.9709 6' numeric
@attribute 'm148.9709 7' numeric
@attribute 'm149.1000 8' numeric
@attribute 'm149.1000 9' numeric
@attribute 'm153.1274 0' numeric
@attribute target {0,1}

@data
750.271,94.053,95.3807,95.491,0.918228,0.49257,30.4051,63.0418,63.1559,54.6064,55.7448,55.3931,0.479975,0.136204,1.01079,0.331299,0.167607,0.483605,0.123009,3.30605,0.182229,0.541471,0.55444,0.281349,0.282083,0.235769,2.38486,2.55075,1.19253,1.69103,1.69368,0.301543,0.294813,0.20768,0.306589,0.317356,0.141353,0.145467,0.081365,0.198233,0.252625,0.251407,0.35908,0.452821,0.44995,0.106179,0.058894,0.264919,0
750.094,95.4629,95.491,96.6512,1.21951,0.630385,30.6097,63.2357,63.4064,55.1753,55.3931,53.7765,0.258586,0.274126,1.31021,0.368584,0.133318,0.589709,0.098882,3.21587,0.312551,0.55444,0.49179,0.2001,0.235769,0.238587,2.55075,2.34536,1.04744,2.06146,1.67375,0.384841,0.402104,0.384862,0.317356,0.309993,0.190815,0.081365,0.198233,0.252625,0.166732,0.210357,0.365571,0.44995,0.390438,0.058894,0.187834,0.289956,0
750.38,97.1561,96.6512,95.6497,0.831996,0.46624,30.2508,63.1559,64.684,55.7448,53.7765,54.0363,0.384161,0.029954,1.15521,0.264469,0.140575,0.589863,0.118427,2.94229,0.153619,0.49179,0.515885,0.282083,0.238587,0.268409,2.34536,2.26311,1.20179,1.93035,1.56583,0.358965,0.293164,0.163243,0.309993,0.376235,0.111253,0.198233,0.252625,0.166732,0.194206,0.223437,0.281607,0.390438,0.405643,0.187834,0.098569,0.256122,0
750.726,96.1949,95.6497,96.6306,1.00832,0.508894,30.1003,63.4064,64.4876,55.3931,54.0363,53.559,0.421509,0.120296,1.0206,0.261646,0.213367,0.476006,0.091238,3.07104,0.249053,0.515885,0.36911,0.235769,0.268409,0.334489,2.26311,2.44321,1.22159,1.79021,1.72586,0.32381,0.241119,0.158734,0.376235,0.370547,0.129365,0.252625,0.166732,0.194206,0.251407,0.22175,0.419179,0.405643,0.485402,0.098569,0.244436,0.248374,0
750.89,95.3807,96.6306,96.6953,1.30173,0.59802,30.6651,64.684,63.1032,53.7765,53.559,54.9822,0.569915,0.130565,1.06756,0.325718,0.191472,0.530985,0.075166,3.18548,0.045819,0.36911,0.382106,0.238587,0.334489,0.221334,2.44321,2.53582,1.49144,1.97926,1.35063,0.374229,0.359589,0.186168,0.370547,0.304836,0.119267,0.166732,0.194206,0.251407,0.210357,0.164951,0.337421,0.485402,0.395602,0.244436,0.151708,0.241701,1
750.86,95.491,96.6953,95.1068,1.13116,0.42688,30.7856,64.4876,62.4763,54.0363,54.9822,54.5424,0.437464,0.172212,0.991002,0.438324,0.239413,0.554643,0.233139,3.26021,0.150795,0.382106,0.377866,0.268409,0.221334,0.263588,2.53582,2.63467,1.3945,1.68036,1.76034,0.335532,0.441208,0.277333,0.304836,0.294931,0.159266,0.194206,0.251407,0.210357,0.223437,0.212723,0.371301,0.395602,0.443385,0.151708,0.122318,0.238578,1
749.192,96.6512,95.1068,95.8042,1.01221,0.549571,29.7598,63.1032,64.6061,53.559,54.5424,53.4137,0.389181,0.159351,1.37431,0.342029,0.043544,0.518921,0.073435,3.39068,0.182954,0.377866,0.441204,0.334489,0.263588,0.349048,2.63467,2.2024,1.61474,2.04555,1.39601,0.292775,0.386441,0.212935,0.294931,0.257592,0.183907,0.251407,0.210357,0.223437,0.22175,0.257053,0.2908,0.443385,0.426194,0.122318,0.225383,0.25234,0
748.599,95.6497,95.8042,96.2351,0.925161,0.638099,29.6393,62.4763,63.1806,54.9822,53.4137,53.7026,0.460427,0.158881,1.23654,0.20999,0.082241,0.545903,0.070405,3.33405,0.113249,0.441204,0.359633,0.221334,0.349048,0.263868,2.2024,2.72757,1.16423,2.06168,1.67616,0.397576,0.290536,0.265017,0.257592,0.301742,0.176178,0.210357,0.223437,0.22175,0.164951,0.273056,0.320125,0.426194,0.372597,0.225383,0.172821,0.2535,0
749.077,96.6306,96.2351,96.2987,1.18069,0.556344,30.3266,64.6061,63.1467,54.5424,53.7026,53.7381,0.355726,0.134112,1.22418,0.431937,0.113159,0.636477,0.08954,3.27135,0.128922,0.359633,0.371046,0.263588,0.263868,0.284582,2.72757,2.50365,1.28766,1.99734,1.55924,0.358095,0.310773,0.237865,0.301742,0.269813,0.196044,0.223437,0.22175,0.164951,0.212723,0.158256,0.386185,0.372597,0.481008,0.172821,0.142255,0.232435,0
749.605,96.6953,96.2987,96.1709,1.31917,0.659783,29.913,63.1806,63.3423,53.4137,53.7381,54.7624,0.485044,0.15103,1.19881,0.361212,0.079534,0.406341,0.095552,3.20042,0.111045,0.371046,0.349022,0.349048,0.284582,0.17119,2.50365,2.6241,1.12252,1.97168,1.71145,0.279896,0.275677,0.334475,0.269813,0.298292,0.239436,0.22175,0.164951,0.212723,0.257053,0.180981,0.378554,0.481008,0.477051,0.142255,0.149918,0.235748,0
