@relation 'emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3123-Llast-weka.filters.unsupervised.attribute.Remove-R3122-3123-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 'CO2 9' numeric
@attribute 'm15.0238 9' numeric
@attribute 'm31.0178 2' numeric
@attribute 'm31.0178 8' numeric
@attribute 'm33.0335 3' numeric
@attribute 'm33.0335 4' numeric
@attribute 'm33.0335 5' numeric
@attribute 'm33.0335 6' numeric
@attribute 'm34 5' numeric
@attribute 'm37.0227 4' numeric
@attribute 'm37.0227 9' numeric
@attribute 'm39 1' numeric
@attribute 'm39 8' numeric
@attribute 'm39 9' numeric
@attribute 'm44.0049 1' numeric
@attribute 'm44.9998 1' numeric
@attribute 'm44.9998 2' numeric
@attribute 'm45.0335 3' numeric
@attribute 'm45.9924 3' numeric
@attribute 'm45.9924 4' numeric
@attribute 'm45.9924 5' numeric
@attribute 'm47.0261 6' numeric
@attribute 'm47.0261 9' numeric
@attribute 'm51.0090 5' numeric
@attribute 'm51.0455 1' numeric
@attribute 'm57.0699 7' numeric
@attribute 'm58.0756 0' numeric
@attribute 'm59.9293 3' numeric
@attribute 'm61.0284 1' numeric
@attribute 'm62.9264 1' numeric
@attribute 'm62.9264 2' numeric
@attribute 'm62.9264 9' numeric
@attribute 'm62.9622 3' numeric
@attribute 'm63.0457 1' numeric
@attribute 'm63.0457 2' numeric
@attribute 'm64.9278 2' numeric
@attribute 'm64.9278 3' numeric
@attribute 'm65.0603 1' numeric
@attribute 'm65.0603 2' numeric
@attribute 'm68.9990 8' numeric
@attribute 'm68.9990 9' numeric
@attribute 'm73.0305 4' numeric
@attribute 'm75.0440 6' numeric
@attribute 'm75.0440 7' numeric
@attribute 'm77.0549 3' numeric
@attribute 'm80.9449 3' numeric
@attribute 'm80.9449 4' numeric
@attribute 'm80.9449 5' numeric
@attribute 'm80.9922 1' numeric
@attribute 'm85.1012 5' numeric
@attribute 'm87.0441 2' numeric
@attribute 'm87.0441 3' numeric
@attribute 'm87.0441 4' numeric
@attribute 'm87.0441 5' numeric
@attribute 'm89.0597 4' numeric
@attribute 'm89.0597 5' numeric
@attribute 'm93.0699 4' numeric
@attribute 'm93.0699 8' numeric
@attribute 'm96.9612 9' numeric
@attribute 'm97.0296 5' numeric
@attribute 'm97.1012 1' numeric
@attribute 'm120.9533 3' numeric
@attribute 'm121.0250 4' numeric
@attribute 'm122.1089 9' numeric
@attribute 'm125.1393 9' numeric
@attribute 'm129.1274 2' numeric
@attribute 'm148.9709 7' numeric
@attribute target {0,1}

@data
749.605,3.32484,20.5074,21.9437,96.1949,95.3807,95.491,96.6512,111.743,7176.81,7196.56,1694.17,1715.6,1706.25,5.4461,36.5144,36.6095,63.4064,9.76704,9.80735,9.86796,11.0528,11.0902,0.679197,1.10841,27.5608,1.36286,0.120296,51.554,0.124307,0.221753,0.241614,0.151291,0.331299,0.368584,0.048089,0.273801,0.566076,0.468186,0.048944,-0.002121,1.81678,3.89102,3.6317,0.36679,0.049147,0.069859,0.013608,0.610037,1.16691,1.74252,2.08844,1.94037,1.69135,2.34536,2.26311,20.5471,21.3415,0.113658,1.93035,1.69368,0.252625,0.114617,1.01002,0.287836,0.2213,0.44995,0
749.638,3.78386,21.304,21.6989,95.3807,95.491,96.6512,95.6497,114.11,7183.3,7222.1,1681.97,1706.25,1714.98,5.09224,36.6095,36.5816,64.684,9.80735,9.86796,9.9069,11.3211,12.9119,0.73319,1.0828,27.596,1.4852,0.130565,51.6125,0.221753,0.40926,0.268148,0.136005,0.368584,0.264469,0.273801,0.226136,0.468186,0.483605,-0.002121,0.08792,1.78977,3.6317,3.96039,0.392127,0.069859,0.013608,0.01039,0.591096,1.2958,2.08844,1.94037,1.69135,2.15739,2.26311,2.44321,21.7303,22.5427,0.150522,1.79021,1.67375,0.166732,0.056188,1.08331,0.33995,0.219156,0.390438,0
757.911,3.7798,21.6692,20.8943,95.8042,96.2351,96.2987,96.1709,111.041,7223.45,7188.98,1706.25,1740.96,1714.77,4.77571,35.6775,36.8283,63.3423,9.79881,9.55564,10.1456,11.5397,11.0401,0.725016,1.05105,28.0684,1.13545,0.196814,51.7776,0.241614,0.268148,0.213714,0.194874,0.431937,0.361212,0.191472,0.239413,0.518921,0.545903,0.011931,0.157173,1.87979,4.00837,3.89769,0.47445,0.070963,0.00385,0.113498,0.65359,1.38208,2.4123,2.22048,1.98056,2.11653,2.6241,2.4229,22.0678,21.6002,0.012622,1.89144,1.55924,0.212723,0.063854,1.09424,0.279074,0.282244,0.481008,0
758.856,3.51372,20.5022,21.4543,96.2351,96.2987,96.1709,94.6378,112.936,7240.14,7218.43,1714.98,1714.77,1711.41,5.6028,36.8283,36.4686,63.9049,9.55564,10.1456,9.76758,11.2445,11.353,0.423673,0.868448,27.6865,1.46692,0.090429,52.27,0.268148,0.270085,0.24882,0.192653,0.361212,0.295361,0.239413,0.043544,0.545903,0.636477,0.157173,0.002649,1.9963,3.89769,3.91361,0.424317,0.00385,0.113498,0.049522,0.835385,1.23292,2.22048,1.98056,2.11653,2.03529,2.4229,2.43832,21.1492,21.4417,0.064428,1.99072,1.71145,0.257053,0.155111,0.959968,0.445849,0.284796,0.477051,0
759.577,3.63281,21.462,21.1063,96.2987,96.1709,94.6378,96.4932,112.274,7241.04,7241.82,1697.87,1711.41,1705.43,4.71379,36.4686,36.1002,63.8787,10.1456,9.76758,10.1467,11.5988,11.3842,0.733411,1.11628,27.2018,1.32014,0.201684,52.3607,0.270085,0.220147,0.20404,0.096339,0.295361,0.398833,0.043544,0.082241,0.636477,0.406341,0.002649,0.026835,1.99619,3.91361,4.06773,0.527561,0.113498,0.049522,0.100652,0.679874,1.23038,1.98056,2.11653,2.03529,1.85053,2.43832,2.44142,22.3513,21.4561,0.128597,1.95763,1.46416,0.273056,0.026913,0.922837,0.32676,0.312101,0.403102,1
760.249,3.14775,22.0661,22.1171,96.1709,94.6378,96.4932,93.6967,110.746,7243.01,7243.45,1690.65,1705.43,1689.06,5.33624,36.1002,36.4072,64.6235,9.76758,10.1467,9.7985,11.0401,12.6306,0.59491,0.952564,26.8339,1.43473,0.259595,52.7562,0.220147,0.22207,0.144094,0.068236,0.398833,0.283922,0.082241,0.113159,0.406341,0.427773,0.026835,-0.002547,1.96146,4.06773,4.10851,0.518168,0.049522,0.100652,-0.002289,0.628315,1.23793,2.11653,2.03529,1.85053,2.17904,2.44142,2.51574,21.9053,21.2173,0.114201,1.91502,1.51544,0.158256,0.067102,0.812401,0.29471,0.177326,0.386021,1
760.661,3.20012,21.5491,20.5168,94.6378,96.4932,93.6967,93.9995,111.43,7224.3,7181.3,1684.36,1689.06,1692.24,5.0991,36.4072,37.8527,64.8715,10.1467,9.7985,9.38784,11.353,11.2618,0.64113,1.09113,27.9783,1.41481,0.207493,53.0052,0.22207,0.082751,0.102646,0.12281,0.283922,0.235364,0.113159,0.079534,0.427773,0.451481,-0.002547,0.010666,2.12381,4.10851,3.79258,0.315171,0.100652,-0.002289,-0.002819,0.771335,1.22034,2.03529,1.85053,2.17904,2.26311,2.51574,2.27181,21.6002,22.1224,0.073021,1.90838,1.61617,0.180981,0.152302,0.868007,0.269827,0.295654,0.445177,1
761.337,3.24566,20.8943,21.5848,93.6967,93.9995,95.3822,95.7974,112.482,7218.43,7248.22,1688.23,1689.35,1723.11,5.15505,37.7765,36.1965,63.5214,9.38784,9.29353,9.85595,12.6306,11.2377,0.673839,1.22254,27.2892,1.59027,0.171253,53.3734,0.123372,0.182576,0.147309,0.130178,0.362141,0.339784,0.083535,0.12364,0.490285,0.515515,-0.010881,0.047893,1.9347,4.03321,4.09132,0.512344,-0.002819,0.011851,0.024646,0.755162,1.22619,2.17904,2.26311,2.22958,2.00021,2.55169,2.45847,21.4561,21.1882,0.034432,1.88846,1.5976,0.277987,0.153867,0.804301,0.20975,0.156456,0.491584,1
761.858,3.31986,21.4543,20.9378,93.9995,95.3822,95.7974,95.7535,112.126,7241.82,7218.34,1740.96,1723.11,1683.28,5.3841,36.1965,36.4364,63.6924,9.29353,9.85595,9.92489,11.2618,11.7104,0.613431,0.978077,27.2517,1.22695,0.129166,53.3105,0.182576,0.213714,0.121908,0.106503,0.339784,0.434959,0.12364,0.072201,0.515515,0.493277,0.047893,0.018137,1.95982,4.09132,3.75229,0.481742,0.011851,0.024646,0.073184,0.736079,1.09406,2.26311,2.22958,2.00021,2.06947,2.45847,2.38921,21.2173,22.7102,0.121725,1.81049,1.51337,0.184689,0.129945,0.909227,0.244776,0.302907,0.53333,1
762.541,3.29281,21.1063,21.503,95.3822,95.7974,95.7535,95.3388,112.342,7243.45,7206.13,1714.77,1683.28,1702.97,5.12678,36.4364,37.0638,62.7826,9.85595,9.92489,10.1142,12.6286,12.7461,0.619196,0.900742,28.1938,1.40231,0.094822,52.6686,0.213714,0.24882,0.374907,0.127537,0.434959,0.33996,0.072201,0.091604,0.493277,0.525674,0.018137,-0.003043,1.8913,3.75229,3.94415,0.53413,0.024646,0.073184,0.026251,0.766587,1.13543,2.22958,2.00021,2.06947,2.19434,2.38921,2.34,22.1224,21.4886,0.121973,1.9426,1.35535,0.20879,0.103545,0.912319,0.325545,0.305258,0.434881,1
